,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,accommodates,bedrooms,beds,instant_bookable,price,Clothing,Entertainment,Exercise,Kitchen,Luxury,Outdoor,Parking,Security,Streaming,Technology,Views,Ward,Privacy,review_scores_rating,Target
801,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.7702985856469355,1.0,0,79.0,1,0,0,0,0,0,0,1,0,0,0,2,1,5.0,1
802,1.0,1.0,0.97,1.0,4,1.0,2.0,0,134.0,1,0,0,1,0,0,0,1,0,0,0,5,1,4.91,1
803,2.0,0.9,0.92,0.0,2,1.7702985856469355,2.0,1,48.0,1,0,0,0,0,0,0,1,0,0,0,1,2,4.36,0
804,1.0,1.0,1.0,1.0,2,1.0,1.0,0,110.0,1,0,0,1,0,0,1,1,0,0,0,6,1,4.99,1
805,2.0,1.0,0.78,0.39646102343376377,1,1.7702985856469355,1.0,0,69.0,1,0,0,1,0,1,0,1,0,0,0,1,2,4.83,1
806,1.0,0.86,0.96,1.0,4,2.0,2.0,1,150.0,1,1,0,1,0,0,0,1,0,0,0,1,1,4.92,1
807,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,100.0,0,0,0,0,0,0,0,1,0,0,0,2,2,5.0,1
808,1.0,1.0,1.0,1.0,10,4.0,4.0,0,597.0,1,1,0,1,0,1,0,1,0,0,0,1,1,4.84,1
809,1.0,1.0,0.96,1.0,4,1.0,1.0,0,115.0,1,1,0,1,0,1,0,1,1,1,1,4,1,4.9,1
811,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.7702985856469355,1.0,0,73.0,1,0,0,0,0,0,0,1,0,0,0,2,1,5.0,1
814,1.0,1.0,1.0,1.0,5,4.0,4.0,0,536.0,1,1,0,1,1,0,0,1,0,0,0,1,1,4.8,1
815,4.0,0.0,0.9298995663090619,0.0,3,1.0,1.0,0,184.0,1,0,0,1,0,0,0,1,0,0,0,2,1,4.73,1
816,3.0,0.83,0.33,0.0,4,2.0,3.0,0,179.0,1,0,0,1,0,1,1,1,0,0,0,5,1,4.87,1
817,1.0,1.0,0.96,1.0,8,3.0,3.0,1,189.0,1,0,0,1,0,1,0,1,0,0,0,6,1,4.94,1
818,1.3098230912476723,0.9654562383612664,1.0,1.0,2,1.7702985856469355,1.0,0,118.0,1,0,0,1,0,0,0,1,0,0,0,1,1,4.88,1
819,1.0,1.0,0.99,1.0,4,1.7702985856469355,4.0,0,78.0,1,0,0,1,0,0,1,1,0,0,0,5,1,4.87,1
820,1.0,1.0,0.92,1.0,5,2.0,2.0,0,263.0,1,1,0,1,0,0,0,1,1,0,0,1,1,4.0,0
